gramm,count,percentage
 ,247820,17.3670
e,179511,12.5799
n,113463,7.9514
i,85793,6.0123
r,75977,5.3244
a,69372,4.8615
s,63930,4.4801
d,60974,4.2730
t,60373,4.2309
h,58493,4.0991
u,43876,3.0748
l,39186,2.7461
c,36413,2.5518
g,29790,2.0877
m,26745,1.8743
",",26065,1.8266
o,23507,1.6473
w,19376,1.3578
b,17694,1.2400
f,14394,1.0087
k,10483,0.7346
z,10014,0.7018
.,9539,0.6685
"""",8409,0.5893
ü,6012,0.4213
S,5970,0.4184
ß,5953,0.4172
ä,5375,0.3767
D,5162,0.3617
p,5083,0.3562
v,4914,0.3444
ö,4830,0.3385
K,4440,0.3112
H,4175,0.2926
W,3751,0.2629
B,3241,0.2271
A,3163,0.2217
M,3132,0.2195
',2872,0.2013
G,2851,0.1998
E,2583,0.1810
T,2567,0.1799
F,2473,0.1733
:,2464,0.1727
L,1643,0.1151
R,1345,0.0943
N,1269,0.0889
J,1123,0.0787
V,1050,0.0736
j,1004,0.0704
?,973,0.0682
I,944,0.0662
;,937,0.0657
Z,897,0.0629
P,844,0.0591
!,835,0.0585
U,640,0.0449
-,489,0.0343
O,283,0.0198
x,141,0.0099
Ä,92,0.0064
q,45,0.0032
Ü,39,0.0027
(,28,0.0020
),28,0.0020
–,25,0.0018
C,24,0.0017
Q,21,0.0015
Ö,12,0.0008
›,6,0.0004
‹,6,0.0004
y,4,0.0003
0,3,0.0002
^,1,0.0001
/,1,0.0001
1,1,0.0001
5,1,0.0001
