gramm,count,percentage
n ,38911,2.7268
er,38563,2.7025
en,36833,2.5812
e ,34080,2.3883
ch,33540,2.3504
 d,31899,2.2355
r ,31079,2.1780
", ",24639,1.7267
te,24233,1.6982
 s,24000,1.6819
in,23890,1.6742
ei,22382,1.5685
de,21371,1.4977
ie,21184,1.4846
nd,19023,1.3331
s ,17089,1.1976
 e,16851,1.1809
un,16684,1.1692
d ,16550,1.1598
t ,15412,1.0801
 w,14581,1.0218
 a,14428,1.0111
 u,13998,0.9810
ge,13465,0.9436
h ,12691,0.8894
ic,12322,0.8635
 i,12246,0.8582
ne,10781,0.7555
an,10659,0.7470
be,10147,0.7111
au,9762,0.6841
he,9498,0.6656
m ,9211,0.6455
da,8988,0.6299
st,8887,0.6228
 g,8886,0.6227
es,8879,0.6222
 h,8872,0.6217
se,8149,0.5711
ht,7937,0.5562
si,7841,0.5495
di,7708,0.5402
"n,",7691,0.5390
. ,6914,0.4845
re,6904,0.4838
as,6844,0.4796
 n,6764,0.4740
 m,6742,0.4725
ra,6720,0.4709
le,6554,0.4593
ll,6147,0.4308
sc,6071,0.4254
al,6031,0.4226
ar,5995,0.4201
ng,5894,0.4130
 S,5716,0.4006
el,5645,0.3956
wa,5536,0.3880
ni,5516,0.3866
ac,5493,0.3849
 z,5431,0.3806
it,5122,0.3589
ih,4999,0.3503
u ,4841,0.3393
 b,4817,0.3376
ab,4788,0.3355
g ,4766,0.3340
nn,4749,0.3328
me,4739,0.3321
 k,4722,0.3309
we,4706,0.3298
 D,4640,0.3252
em,4598,0.3222
ha,4560,0.3196
wi,4529,0.3174
zu,4481,0.3140
l ,4462,0.3127
so,4455,0.3122
lt,4365,0.3059
hr,4363,0.3058
 K,4345,0.3045
 v,4343,0.3044
" """,4209,0.2950
""" ",4116,0.2884
tt,4109,0.2880
ol,4061,0.2846
li,4026,0.2821
 H,3991,0.2797
"e,",3985,0.2793
uf,3937,0.2759
ig,3876,0.2716
mi,3866,0.2709
n.,3820,0.2677
eh,3746,0.2625
at,3731,0.2615
or,3675,0.2575
et,3671,0.2573
rt,3665,0.2568
 f,3656,0.2562
us,3572,0.2503
ag,3506,0.2457
f ,3501,0.2453
 l,3387,0.2374
"t,",3361,0.2355
nt,3334,0.2336
o ,3254,0.2280
ri,3221,0.2257
is,3188,0.2234
 W,3188,0.2234
ls,3160,0.2214
 B,3158,0.2213
hn,3127,0.2191
sa,3118,0.2185
ß ,3092,0.2167
"r,",3087,0.2163
a ,3073,0.2154
hl,2997,0.2100
 M,2978,0.2087
ns,2947,0.2065
ck,2871,0.2012
 A,2864,0.2007
hi,2789,0.1955
wo,2785,0.1952
ir,2784,0.1951
gt,2782,0.1950
am,2747,0.1925
la,2713,0.1901
 G,2669,0.1870
vo,2665,0.1868
fe,2639,0.1849
eg,2621,0.1837
on,2611,0.1830
ss,2606,0.1826
hm,2586,0.1812
eb,2585,0.1812
mm,2547,0.1785
 T,2531,0.1774
ön,2470,0.1731
: ,2462,0.1725
sp,2457,0.1722
Da,2451,0.1718
oc,2409,0.1688
 F,2405,0.1685
na,2391,0.1676
ke,2382,0.1669
 E,2373,0.1663
ut,2361,0.1655
ma,2328,0.1631
pr,2303,0.1614
um,2274,0.1594
rd,2255,0.1580
Sc,2234,0.1566
il,2205,0.1545
ah,2194,0.1538
ed,2146,0.1504
du,2144,0.1502
uc,2128,0.1491
aß,2086,0.1462
rn,2047,0.1435
rs,2035,0.1426
ur,2008,0.1407
".""",1977,0.1385
ka,1935,0.1356
tr,1916,0.1343
ld,1837,0.1287
 t,1761,0.1234
ze,1729,0.1212
ef,1718,0.1204
 r,1711,0.1199
ve,1691,0.1185
Ha,1652,0.1158
im,1647,0.1154
ro,1636,0.1146
ta,1605,0.1125
Kö,1597,0.1119
ru,1548,0.1085
 L,1544,0.1082
eu,1518,0.1064
tz,1503,0.1053
e.,1471,0.1031
ti,1436,0.1006
gi,1428,0.1001
ga,1417,0.0993
ec,1406,0.0985
ko,1390,0.0974
i ,1376,0.0964
oh,1346,0.0943
 R,1331,0.0933
b ,1315,0.0922
"h,",1297,0.0909
Wa,1275,0.0894
rg,1273,0.0892
St,1257,0.0881
t.,1249,0.0875
' ,1241,0.0870
ür,1240,0.0869
 ',1234,0.0865
ße,1233,0.0864
De,1227,0.0860
Ge,1217,0.0853
om,1199,0.0840
nz,1197,0.0839
ug,1168,0.0819
kt,1162,0.0814
nu,1159,0.0812
We,1147,0.0804
br,1146,0.0803
fr,1140,0.0799
bi,1127,0.0790
ho,1121,0.0786
rl,1119,0.0784
id,1087,0.0762
",""",1082,0.0758
nk,1075,0.0753
rb,1073,0.0752
hö,1069,0.0749
"s,",1063,0.0745
Al,1051,0.0737
oß,1046,0.0733
gr,1044,0.0732
He,1023,0.0717
 N,1013,0.0710
gl,1012,0.0709
gs,1010,0.0708
ßt,1004,0.0704
uß,998,0.0699
üc,997,0.0699
 V,992,0.0695
ts,979,0.0686
lo,967,0.0678
 J,965,0.0676
ue,955,0.0669
dr,954,0.0669
ot,939,0.0658
Fr,938,0.0657
; ,928,0.0650
ew,923,0.0647
fa,917,0.0643
Br,917,0.0643
fü,911,0.0638
zt,908,0.0636
üb,902,0.0632
Ma,900,0.0631
rü,888,0.0622
ft,884,0.0619
rz,884,0.0619
k ,882,0.0618
 j,878,0.0615
bl,872,0.0611
pf,870,0.0610
"g,",869,0.0609
är,863,0.0605
no,862,0.0604
hw,860,0.0603
 Z,843,0.0591
Di,842,0.0590
tw,842,0.0590
 P,839,0.0588
mu,830,0.0582
rr,815,0.0571
rm,811,0.0568
"m,",805,0.0564
Be,802,0.0562
Wi,773,0.0542
z ,772,0.0541
än,771,0.0540
"d,",763,0.0535
Er,762,0.0534
r.,758,0.0531
fi,748,0.0524
hs,747,0.0523
Ta,736,0.0516
wä,726,0.0509
rc,723,0.0507
kl,723,0.0507
zw,718,0.0503
hä,702,0.0492
eß,700,0.0491
af,689,0.0483
ba,679,0.0476
to,679,0.0476
 o,679,0.0476
iß,678,0.0475
"l,",676,0.0474
üh,667,0.0467
og,657,0.0460
ät,643,0.0451
 ü,640,0.0449
.',640,0.0449
äu,630,0.0441
wu,628,0.0440
fo,627,0.0439
So,618,0.0433
 U,618,0.0433
Le,608,0.0426
Si,606,0.0425
nm,604,0.0423
lu,604,0.0423
ör,603,0.0423
rf,602,0.0422
Es,595,0.0417
bt,595,0.0417
ub,593,0.0416
ün,592,0.0415
Ki,590,0.0413
rk,587,0.0411
tu,575,0.0403
Fe,571,0.0400
lb,569,0.0399
os,552,0.0387
ob,552,0.0387
Mä,551,0.0386
Ba,550,0.0385
gu,549,0.0385
e:,545,0.0382
 I,543,0.0381
ad,540,0.0378
uh,538,0.0377
äh,529,0.0371
Un,528,0.0370
Me,528,0.0370
"?""",516,0.0362
Ka,515,0.0361
"!""",512,0.0359
do,512,0.0359
Na,505,0.0354
"""W",502,0.0352
"f,",502,0.0352
lf,501,0.0351
ib,494,0.0346
Ab,491,0.0344
n:,488,0.0342
hu,482,0.0338
To,481,0.0337
- ,481,0.0337
Go,477,0.0334
"""D",472,0.0331
ff,471,0.0330
Ei,469,0.0329
rw,464,0.0325
Au,463,0.0324
h:,461,0.0323
kö,460,0.0322
bs,454,0.0318
 -,452,0.0317
Ko,451,0.0316
Sp,449,0.0315
vi,447,0.0313
pe,446,0.0313
Va,440,0.0308
mt,435,0.0305
Ic,431,0.0302
je,423,0.0296
ud,420,0.0294
fl,416,0.0292
lü,415,0.0291
dl,413,0.0289
rä,413,0.0289
's,413,0.0289
dc,412,0.0289
op,412,0.0289
äd,410,0.0287
n?,407,0.0285
ul,407,0.0285
Gr,406,0.0285
"u,",404,0.0283
Ja,399,0.0280
Mu,393,0.0275
ek,392,0.0275
lä,391,0.0274
su,390,0.0273
tü,383,0.0268
 p,378,0.0265
Ho,377,0.0264
s.,377,0.0264
Pf,376,0.0263
kr,374,0.0262
n;,371,0.0260
pi,367,0.0257
ös,363,0.0254
Nu,363,0.0254
äg,356,0.0249
Wo,352,0.0247
od,349,0.0245
if,340,0.0238
"""I",339,0.0238
zo,336,0.0235
zi,336,0.0235
Ti,334,0.0234
",'",334,0.0234
rh,332,0.0233
Du,332,0.0233
wü,331,0.0232
r:,331,0.0232
Tr,326,0.0228
hü,319,0.0224
üs,317,0.0222
Ri,310,0.0217
Fu,310,0.0217
ee,309,0.0217
pp,308,0.0216
Sa,304,0.0213
Mo,304,0.0213
pa,304,0.0213
Vo,303,0.0212
üt,303,0.0212
Kr,302,0.0212
Re,301,0.0211
Se,301,0.0211
? ,301,0.0211
nf,298,0.0209
aa,294,0.0206
Hi,294,0.0206
mü,293,0.0205
öh,293,0.0205
Ze,291,0.0204
Ju,290,0.0203
lc,286,0.0200
tl,286,0.0200
Li,285,0.0200
go,284,0.0199
La,281,0.0197
ja,274,0.0192
"b,",273,0.0191
äl,272,0.0191
Ar,272,0.0191
ds,271,0.0190
Hä,269,0.0189
! ,269,0.0189
Ih,269,0.0189
En,268,0.0188
of,265,0.0186
"""A",264,0.0185
nb,263,0.0184
Tü,263,0.0184
g.,261,0.0183
"ß,",257,0.0180
fs,256,0.0179
"a,",255,0.0179
Ra,253,0.0177
h.,251,0.0176
sg,249,0.0174
äc,249,0.0174
n!,248,0.0174
d.,247,0.0173
ms,247,0.0173
ln,246,0.0172
