gramm,count,percentage
üß,246,0.0172
gn,242,0.0170
nc,241,0.0169
Bl,241,0.0169
An,239,0.0167
Hu,238,0.0167
"k,",238,0.0167
Ac,237,0.0166
lz,236,0.0165
Gl,235,0.0165
Kl,231,0.0162
Bä,228,0.0160
"""S",226,0.0158
ül,225,0.0158
Mü,224,0.0157
Eu,223,0.0156
"""N",223,0.0156
öc,218,0.0153
Ga,218,0.0153
üd,217,0.0152
Jä,212,0.0149
Mi,210,0.0147
 O,210,0.0147
rö,209,0.0146
fg,209,0.0146
nl,208,0.0146
av,205,0.0144
Fl,205,0.0144
fu,204,0.0143
"""d",204,0.0143
Te,204,0.0143
l.,201,0.0141
nh,197,0.0138
lö,197,0.0138
tg,196,0.0137
ju,196,0.0137
äm,194,0.0136
Fi,192,0.0135
Kn,190,0.0133
"i,",188,0.0132
m.,187,0.0131
Ke,186,0.0130
Hö,184,0.0129
"""w",183,0.0128
zä,183,0.0128
nä,182,0.0128
nü,180,0.0126
Lu,179,0.0125
"""E",178,0.0125
Zw,173,0.0121
Ve,171,0.0120
Ku,171,0.0120
t:,170,0.0119
üg,167,0.0117
f.,165,0.0116
dt,163,0.0114
mp,162,0.0114
gf,160,0.0112
Do,160,0.0112
t?,160,0.0112
Am,159,0.0111
tä,158,0.0111
"""G",157,0.0110
'd,157,0.0110
öt,156,0.0109
"""H",154,0.0108
ög,153,0.0107
ml,152,0.0107
th,151,0.0106
Ro,151,0.0106
öl,149,0.0104
fä,149,0.0104
bo,148,0.0104
t!,148,0.0104
Pr,148,0.0104
äs,148,0.0104
ez,147,0.0103
sh,147,0.0103
 ä,146,0.0102
ep,145,0.0102
sb,145,0.0102
lg,144,0.0101
up,143,0.0100
bg,142,0.0100
"""M",141,0.0099
mo,141,0.0099
ap,141,0.0099
Zu,139,0.0097
Ne,139,0.0097
Hü,137,0.0096
Bi,136,0.0095
"""J",133,0.0093
hz,132,0.0093
'w,132,0.0093
Dr,131,0.0092
?',131,0.0092
Kü,130,0.0091
Bu,130,0.0091
wö,130,0.0091
tö,129,0.0090
"""i",129,0.0090
b.,128,0.0090
mö,127,0.0089
Zi,127,0.0089
In,126,0.0088
Pe,125,0.0088
"z,",125,0.0088
e;,124,0.0087
kä,124,0.0087
ak,124,0.0087
bö,123,0.0086
äf,122,0.0085
mä,120,0.0084
Fa,120,0.0084
tc,117,0.0082
Ru,116,0.0081
'i,116,0.0081
za,115,0.0081
r',114,0.0080
nr,113,0.0079
t;,112,0.0078
Wu,111,0.0078
az,111,0.0078
bu,111,0.0078
öp,111,0.0078
md,109,0.0076
Pa,108,0.0076
fm,108,0.0076
lm,108,0.0076
pt,108,0.0076
Lö,107,0.0075
ks,106,0.0074
Rü,105,0.0074
No,105,0.0074
Tu,104,0.0073
Bo,103,0.0072
Gu,103,0.0072
k.,103,0.0072
ku,102,0.0071
gd,102,0.0071
pu,102,0.0071
ß.,101,0.0071
öß,101,0.0071
kn,101,0.0071
sl,100,0.0070
El,100,0.0070
Fü,100,0.0070
Za,100,0.0070
fn,98,0.0069
xe,98,0.0069
Lo,98,0.0069
f:,97,0.0068
äß,97,0.0068
rv,96,0.0067
Bü,96,0.0067
Rä,95,0.0067
Oh,94,0.0066
"""L",93,0.0065
kü,93,0.0065
Vö,93,0.0065
 Ä,92,0.0064
Ni,92,0.0064
lk,92,0.0064
t',91,0.0064
jü,91,0.0064
ki,90,0.0063
öf,90,0.0063
sk,89,0.0062
ev,89,0.0062
öw,88,0.0062
gk,87,0.0061
tm,87,0.0061
Gä,84,0.0059
r;,83,0.0058
g:,82,0.0057
ex,81,0.0057
va,81,0.0057
r?,79,0.0055
sz,78,0.0055
u.,78,0.0055
bü,78,0.0055
As,77,0.0054
Kä,77,0.0054
Jü,75,0.0053
iä,75,0.0053
m:,74,0.0052
s:,74,0.0052
""",",74,0.0052
"""K",74,0.0052
Jo,74,0.0052
nw,73,0.0051
Je,73,0.0051
"""B",72,0.0050
lh,72,0.0050
Lä,71,0.0050
Tö,70,0.0049
n',69,0.0048
sm,69,0.0048
"""s",69,0.0048
mg,68,0.0048
sä,68,0.0048
ip,68,0.0048
h!,67,0.0047
ik,67,0.0047
mh,67,0.0047
pl,65,0.0046
dü,65,0.0046
 ö,64,0.0045
e!,63,0.0044
Ap,63,0.0044
s?,63,0.0044
tf,62,0.0043
üm,62,0.0043
üp,62,0.0043
fz,61,0.0043
"""O",61,0.0043
'W,61,0.0043
Pl,60,0.0042
e?,60,0.0042
fh,59,0.0041
Ec,58,0.0041
bc,57,0.0040
tk,57,0.0040
"""F",57,0.0040
sr,57,0.0040
hk,56,0.0039
zl,56,0.0039
tb,56,0.0039
i.,56,0.0039
ßl,56,0.0039
hc,55,0.0039
gg,54,0.0038
uz,54,0.0038
'n,54,0.0038
Nä,53,0.0037
Wä,52,0.0036
u?,52,0.0036
r!,52,0.0036
fc,52,0.0036
"""a",51,0.0036
dw,50,0.0035
fw,50,0.0035
'D,50,0.0035
"""Z",50,0.0035
h',50,0.0035
po,49,0.0034
"o,",49,0.0034
'e,49,0.0034
u:,49,0.0034
z.,48,0.0034
Sö,47,0.0033
"""e",47,0.0033
iz,47,0.0033
Zo,47,0.0033
s!,46,0.0032
'I,46,0.0032
'h,46,0.0032
kc,45,0.0032
qu,45,0.0032
Gi,45,0.0032
bä,44,0.0031
hh,44,0.0031
äb,44,0.0031
sw,44,0.0031
Su,43,0.0030
Äp,43,0.0030
ßc,42,0.0029
uk,42,0.0029
"""V",42,0.0029
ßi,42,0.0029
mc,42,0.0029
Of,42,0.0029
ov,42,0.0029
tn,42,0.0029
bh,42,0.0029
"""m",41,0.0029
l!,41,0.0029
hd,40,0.0028
bz,40,0.0028
xt,40,0.0028
Vi,40,0.0028
s;,40,0.0028
d',40,0.0028
 Ü,39,0.0027
!',39,0.0027
zü,39,0.0027
sd,39,0.0027
hb,39,0.0027
Üb,38,0.0027
l:,38,0.0027
nö,38,0.0027
Ad,38,0.0027
fk,37,0.0026
Gn,37,0.0026
db,37,0.0026
Sw,37,0.0026
Ig,37,0.0026
np,36,0.0025
Ed,36,0.0025
hg,36,0.0025
Bö,36,0.0025
zh,36,0.0025
Sü,35,0.0025
hf,35,0.0025
Or,35,0.0025
dn,35,0.0025
"""u",35,0.0025
äp,35,0.0025
nv,34,0.0024
Eh,34,0.0024
Ob,34,0.0024
Ax,34,0.0024
 q,34,0.0024
Sä,34,0.0024
ai,34,0.0024
mk,34,0.0024
sf,34,0.0024
Uf,34,0.0024
ßm,34,0.0024
h;,33,0.0023
'A,33,0.0023
pc,32,0.0022
'N,32,0.0022
ua,32,0.0022
d?,32,0.0022
dm,31,0.0022
Tä,31,0.0022
mb,31,0.0022
"""T",30,0.0021
'H,30,0.0021
Wü,30,0.0021
k!,30,0.0021
mw,29,0.0020
g?,29,0.0020
'E,29,0.0020
'a,29,0.0020
O ,29,0.0020
"n""",28,0.0020
 (,28,0.0020
Is,28,0.0020
bf,28,0.0020
bw,27,0.0019
'g,27,0.0019
rj,27,0.0019
Um,27,0.0019
'S,26,0.0018
kk,26,0.0018
sü,26,0.0018
ia,26,0.0018
zc,26,0.0018
ps,26,0.0018
"""h",25,0.0018
oo,25,0.0018
d:,25,0.0018
'u,25,0.0018
pä,25,0.0018
f;,25,0.0018
g;,25,0.0018
lp,25,0.0018
'J,25,0.0018
 –,25,0.0018
– ,25,0.0018
uw,24,0.0017
dh,24,0.0017
"?,",24,0.0017
u!,24,0.0017
'G,24,0.0017
rp,24,0.0017
ph,24,0.0017
lr,23,0.0016
l;,23,0.0016
 C,23,0.0016
td,23,0.0016
Oc,23,0.0016
mz,22,0.0015
bn,22,0.0015
bb,22,0.0015
d;,22,0.0015
fb,22,0.0015
kb,22,0.0015
a?,22,0.0015
e',22,0.0015
Ch,22,0.0015
'm,22,0.0015
vö,22,0.0015
l',21,0.0015
"""n",21,0.0015
Qu,21,0.0015
h?,21,0.0015
'l,21,0.0015
Mö,21,0.0015
Fä,21,0.0015
It,21,0.0015
uv,20,0.0014
 Q,20,0.0014
Uh,20,0.0014
ix,20,0.0014
Ur,19,0.0013
dk,19,0.0013
d!,18,0.0013
Är,18,0.0013
ok,18,0.0013
g',18,0.0013
Th,18,0.0013
'j,18,0.0013
jä,18,0.0013
iw,18,0.0013
ßk,18,0.0013
oz,17,0.0012
Äs,17,0.0012
f!,17,0.0012
"""k",17,0.0012
m;,17,0.0012
nj,17,0.0012
"p,",17,0.0012
tj,17,0.0012
p ,17,0.0012
s',16,0.0011
"""g",16,0.0011
bk,16,0.0011
"""l",16,0.0011
kg,16,0.0011
l?,16,0.0011
dv,16,0.0011
zg,16,0.0011
Eb,15,0.0011
ea,15,0.0011
m!,15,0.0011
gh,15,0.0011
gä,15,0.0011
lw,15,0.0011
g!,15,0.0011
'V,15,0.0011
At,15,0.0011
b:,14,0.0010
ßb,14,0.0010
Im,14,0.0010
'K,14,0.0010
üf,14,0.0010
Zä,14,0.0010
"""U",14,0.0010
zb,14,0.0010
Lü,14,0.0010
"',",13,0.0009
"""b",13,0.0009
a.,13,0.0009
dä,13,0.0009
"t""",13,0.0009
u;,13,0.0009
"),",13,0.0009
"""R",12,0.0008
 Ö,12,0.0008
"!,",12,0.0008
Nü,12,0.0008
'M,12,0.0008
o!,12,0.0008
ßg,12,0.0008
'O,12,0.0008
kz,12,0.0008
"r""",12,0.0008
m',12,0.0008
b;,12,0.0008
Gü,12,0.0008
ui,12,0.0008
n-,12,0.0008
u',12,0.0008
zk,12,0.0008
) ,12,0.0008
zö,12,0.0008
Gv,12,0.0008
Rö,12,0.0008
dz,12,0.0008
dd,12,0.0008
kh,11,0.0008
kw,11,0.0008
ej,11,0.0008
'b,11,0.0008
uä,11,0.0008
k;,11,0.0008
gü,11,0.0008
gö,11,0.0008
aw,11,0.0008
Wö,11,0.0008
uo,10,0.0007
k?,10,0.0007
mf,10,0.0007
z!,10,0.0007
Pu,10,0.0007
'k,10,0.0007
Fo,10,0.0007
'F,10,0.0007
eö,10,0.0007
"h""",10,0.0007
Dö,10,0.0007
zs,9,0.0006
"O,",9,0.0006
i;,9,0.0006
bd,9,0.0006
sv,9,0.0006
m?,9,0.0006
Pi,9,0.0006
öd,9,0.0006
sö,9,0.0006
'B,9,0.0006
"""z",9,0.0006
gz,9,0.0006
ßs,8,0.0006
f-,8,0.0006
a!,8,0.0006
dg,8,0.0006
'v,8,0.0006
Ah,8,0.0006
ow,8,0.0006
"""j",8,0.0006
"s""",8,0.0006
df,8,0.0006
Po,8,0.0006
Ul,8,0.0006
Ev,8,0.0006
öö,8,0.0006
zm,7,0.0005
pü,7,0.0005
'f,7,0.0005
Dä,7,0.0005
Äc,7,0.0005
ß;,7,0.0005
"e""",7,0.0005
öm,7,0.0005
Os,7,0.0005
"""v",7,0.0005
sn,7,0.0005
gb,7,0.0005
Öf,7,0.0005
'U,7,0.0005
Ok,7,0.0005
äI,7,0.0005
lj,7,0.0005
""".",6,0.0004
Af,6,0.0004
't,6,0.0004
e),6,0.0004
eo,6,0.0004
dö,6,0.0004
z',6,0.0004
tp,6,0.0004
b',6,0.0004
" ,",6,0.0004
 ›,6,0.0004
gm,6,0.0004
Fö,6,0.0004
Il,6,0.0004
i:,5,0.0004
Öl,5,0.0004
"""P",5,0.0004
b!,5,0.0004
'z,5,0.0004
'T,5,0.0004
n),5,0.0004
Et,5,0.0004
"k""",5,0.0004
"g""",5,0.0004
ßv,5,0.0004
;',5,0.0004
p!,5,0.0004
""";",5,0.0004
'L,5,0.0004
Iä,5,0.0004
Zü,5,0.0004
ö ,5,0.0004
gw,5,0.0004
Gö,5,0.0004
iu,5,0.0004
mr,5,0.0004
ßh,5,0.0004
f?,5,0.0004
"""f",5,0.0004
lv,5,0.0004
ß!,5,0.0004
ßz,5,0.0004
mn,5,0.0004
Aa,5,0.0004
rq,5,0.0004
hI,5,0.0004
zr,4,0.0003
hj,4,0.0003
a:,4,0.0003
s-,4,0.0003
v ,4,0.0003
ou,4,0.0003
km,4,0.0003
kf,4,0.0003
sj,4,0.0003
fp,4,0.0003
uu,4,0.0003
t),4,0.0003
(w,4,0.0003
i',4,0.0003
eq,4,0.0003
i!,4,0.0003
r-,4,0.0003
tv,4,0.0003
uj,4,0.0003
z?,4,0.0003
z;,3,0.0002
).,3,0.0002
Ew,3,0.0002
zd,3,0.0002
iv,3,0.0002
'Z,3,0.0002
o.,3,0.0002
k',3,0.0002
(d,3,0.0002
(e,3,0.0002
g),3,0.0002
ax,3,0.0002
f',3,0.0002
"-""",3,0.0002
"f""",3,0.0002
"‹,",3,0.0002
pö,3,0.0002
'.,3,0.0002
'o,3,0.0002
äk,3,0.0002
";""",3,0.0002
Eg,3,0.0002
0 ,3,0.0002
bp,3,0.0002
bm,3,0.0002
"""t",3,0.0002
vä,3,0.0002
 .,3,0.0002
fd,3,0.0002
Sm,3,0.0002
mj,3,0.0002
Äh,3,0.0002
aj,3,0.0002
k:,3,0.0002
Vä,3,0.0002
öv,3,0.0002
io,3,0.0002
›K,3,0.0002
!‹,3,0.0002
hp,3,0.0002
ß?,2,0.0001
a;,2,0.0001
ay,2,0.0001
"""p",2,0.0001
Rh,2,0.0001
"u""",2,0.0001
d-,2,0.0001
.-,2,0.0001
-K,2,0.0001
'R,2,0.0001
'',2,0.0001
p.,2,0.0001
jo,2,0.0001
r),2,0.0001
x ,2,0.0001
"A,",2,0.0001
B ,2,0.0001
",n",2,0.0001
I ,2,0.0001
bv,2,0.0001
":""",2,0.0001
"a""",2,0.0001
"l""",2,0.0001
(K,2,0.0001
h),2,0.0001
kj,2,0.0001
z:,2,0.0001
ux,2,0.0001
"""0",2,0.0001
"""o",2,0.0001
"""r",2,0.0001
"d""",2,0.0001
bI,2,0.0001
wh,2,0.0001
äe,2,0.0001
w ,2,0.0001
‹ ,2,0.0001
ßa,2,0.0001
ß:,2,0.0001
eä,2,0.0001
Em,2,0.0001
Äu,2,0.0001
ök,2,0.0001
Up,2,0.0001
Iü,2,0.0001
"m""",2,0.0001
..,2,0.0001
zf,2,0.0001
sq,1,0.0001
y ,1,0.0001
-e,1,0.0001
(B,1,0.0001
"p""",1,0.0001
ii,1,0.0001
"i""",1,0.0001
"""C",1,0.0001
(L,1,0.0001
-A,1,0.0001
Co,1,0.0001
Ae,1,0.0001
Ue,1,0.0001
v.,1,0.0001
(i,1,0.0001
i?,1,0.0001
"'""",1,0.0001
",l",1,0.0001
'ü,1,0.0001
eB,1,0.0001
";,",1,0.0001
(E,1,0.0001
",e",1,0.0001
'ö,1,0.0001
bj,1,0.0001
öb,1,0.0001
ye,1,0.0001
c ,1,0.0001
(S,1,0.0001
",.",1,0.0001
Eß,1,0.0001
ßf,1,0.0001
(F,1,0.0001
(U,1,0.0001
.),1,0.0001
(a,1,0.0001
M ,1,0.0001
(z,1,0.0001
Ak,1,0.0001
›w,1,0.0001
s‹,1,0.0001
Sk,1,0.0001
Ca,1,0.0001
(V,1,0.0001
k),1,0.0001
ßu,1,0.0001
kd,1,0.0001
Ie,1,0.0001
fv,1,0.0001
Än,1,0.0001
tq,1,0.0001
".,",1,0.0001
",E",1,0.0001
-u,1,0.0001
Hm,1,0.0001
ßw,1,0.0001
"""Q",1,0.0001
ük,1,0.0001
›G,1,0.0001
g‹,1,0.0001
Üe,1,0.0001
pI,1,0.0001
Iö,1,0.0001
fö,1,0.0001
",w",1,0.0001
ßn,1,0.0001
Äx,1,0.0001
hy,1,0.0001
ym,1,0.0001
n^,1,0.0001
^ ,1,0.0001
f/,1,0.0001
/u,1,0.0001
g-,1,0.0001
w.,1,0.0001
D ,1,0.0001
pb,1,0.0001
Sl,1,0.0001
(M,1,0.0001
k-,1,0.0001
hv,1,0.0001
Dü,1,0.0001
Ot,1,0.0001
ey,1,0.0001
yn,1,0.0001
t-,1,0.0001
E ,1,0.0001
.!,1,0.0001
ßr,1,0.0001
ce,1,0.0001
",I",1,0.0001
A ,1,0.0001
'r,1,0.0001
zz,1,0.0001
Uu,1,0.0001
b?,1,0.0001
oe,1,0.0001
oi,1,0.0001
Od,1,0.0001
dp,1,0.0001
Ol,1,0.0001
(v,1,0.0001
ß),1,0.0001
Zö,1,0.0001
(b,1,0.0001
m),1,0.0001
h-,1,0.0001
",S",1,0.0001
",d",1,0.0001
›T,1,0.0001
h‹,1,0.0001
"‹""",1,0.0001
(N,1,0.0001
z),1,0.0001
(A,1,0.0001
"x,",1,0.0001
"I,",1,0.0001
ßd,1,0.0001
e-,1,0.0001
?!,1,0.0001
(Z,1,0.0001
 1,1,0.0001
15,1,0.0001
50,1,0.0001
l),1,0.0001
