word,count,percentage
Art,5429867,0.0580
gleich,5350355,0.0571
hätte,5342261,0.0571
Platz,5325552,0.0569
Prozent,5316649,0.0568
Beispiel,5308956,0.0567
sicher,5275855,0.0563
daher,5268996,0.0563
wissen,5240196,0.0560
kleinen,5240002,0.0560
paar,5147022,0.0550
de,5141460,0.0549
meiner,5139728,0.0549
kam,5127160,0.0548
findet,5113448,0.0546
sagen,5110118,0.0546
gerne,5084099,0.0543
deshalb,5074246,0.0542
zurück,5069281,0.0541
jeden,5060089,0.0540
sollten,5059742,0.0540
statt,5058266,0.0540
lässt,5006302,0.0535
Liebe,5001629,0.0534
richtig,4974021,0.0531
kleine,4947770,0.0528
stellen,4938838,0.0527
fragen,4924943,0.0526
deren,4904709,0.0524
worden,4851329,0.0518
weiß,4845456,0.0517
sollen,4844176,0.0517
tun,4831023,0.0516
erhalten,4797684,0.0512
wegen,4793222,0.0512
eher,4787445,0.0511
weniger,4762414,0.0509
direkt,4749813,0.0507
ebenfalls,4725803,0.0505
darüber,4718361,0.0504
ging,4699787,0.0502
Informationen,4683845,0.0500
nie,4647720,0.0496
Bereich,4645765,0.0496
später,4621618,0.0494
ganze,4618437,0.0493
dich,4605431,0.0492
hin,4596921,0.0491
warum,4592933,0.0491
hab,4542170,0.0485
vier,4526227,0.0483
nehmen,4523561,0.0483
sieht,4477392,0.0478
geschichte,4469021,0.0477
je,4465469,0.0477
Kunden,4458804,0.0476
keinen,4430578,0.0473
werde,4416735,0.0472
aller,4316850,0.0461
kurz,4306376,0.0460
Geld,4283525,0.0457
bekommen,4272226,0.0456
gilt,4233736,0.0452
Möglichkeit,4228599,0.0452
nächsten,4218301,0.0451
deutlich,4209947,0.0450
außerdem,4209527,0.0450
Frauen,4185904,0.0447
arbeiten,4174685,0.0446
bleibt,4169224,0.0445
klar,4155264,0.0444
kaum,4143307,0.0442
eben,4142236,0.0442
meinen,4141756,0.0442
wollte,4128276,0.0441
Ziel,4110884,0.0439
Berlin,4105881,0.0439
zeigt,4077553,0.0435
Mann,4038691,0.0431
Buch,4016717,0.0429
rahmen,4007146,0.0428
konnten,3999445,0.0427
besten,3981715,0.0425
bitte,3968161,0.0424
somit,3965725,0.0424
stand,3958287,0.0423
sagt,3935300,0.0420
Bild,3902028,0.0417
darf,3898718,0.0416
Entwicklung,3879463,0.0414
gehört,3873753,0.0414
pro,3867803,0.0413
zudem,3867229,0.0413
wichtig,3864527,0.0413
Internet,3860873,0.0412
Wasser,3811133,0.0407
spielen,3800809,0.0406
bieten,3795573,0.0405
Tage,3768168,0.0402
neu,3763576,0.0402
Woche,3762257,0.0402
Minuten,3760781,0.0402
unseren,3736115,0.0399
stellt,3730795,0.0398
Verfügung,3725323,0.0398
bisher,3721338,0.0397
deutsche,3716681,0.0397
verschiedenen,3711943,0.0396
Land,3681785,0.0393
guten,3680422,0.0393
Ort,3653903,0.0390
schön,3647269,0.0390
gegenüber,3612065,0.0386
solche,3611414,0.0386
kosten,3610902,0.0386
Form,3608743,0.0385
weit,3598391,0.0384
weiteren,3578989,0.0382
Wochen,3568594,0.0381
zweiten,3564553,0.0381
musste,3561457,0.0380
Haus,3560872,0.0380
dank,3560744,0.0380
eigene,3553191,0.0379
meisten,3551285,0.0379
bleiben,3544219,0.0379
insgesamt,3535418,0.0378
Grund,3513498,0.0375
Problem,3504705,0.0374
besteht,3503102,0.0374
sagte,3501365,0.0374
jede,3501343,0.0374
nachdem,3490781,0.0373
ebenso,3473497,0.0371
beide,3457619,0.0369
anders,3451372,0.0369
danach,3447805,0.0368
Familie,3441632,0.0368
meinem,3440222,0.0367
alten,3412261,0.0364
bringen,3412252,0.0364
daran,3406610,0.0364
Leute,3391322,0.0362
aufgrund,3387492,0.0362
Eltern,3383464,0.0361
gemeinsam,3372745,0.0360
sofort,3366928,0.0360
dessen,3338812,0.0357
halten,3333333,0.0356
nutzen,3324427,0.0355
Hand,3323297,0.0355
lesen,3322683,0.0355
leicht,3319687,0.0355
anfang,3317815,0.0354
jedem,3302711,0.0353
bekannt,3298956,0.0352
Hilfe,3274423,0.0350
Blick,3272376,0.0349
schließlich,3262337,0.0348
dadurch,3255202,0.0348
Zukunft,3250708,0.0347
Namen,3250681,0.0347
sowohl,3246072,0.0347
überhaupt,3245872,0.0347
unserem,3243204,0.0346
zunächst,3218197,0.0344
Stunden,3200450,0.0342
hinter,3196322,0.0341
hast,3191932,0.0341
heißt,3173510,0.0339
Stelle,3158189,0.0337
finde,3149917,0.0336
Einsatz,3138992,0.0335
Team,3138169,0.0335
trotz,3136772,0.0335
Millionen,3131615,0.0334
insbesondere,3130207,0.0334
gewesen,3126328,0.0334
Musik,3125291,0.0334
endlich,3109250,0.0332
sonst,3104335,0.0332
weise,3086830,0.0330
per,3078550,0.0329
innerhalb,3072146,0.0328
Schule,3066170,0.0327
fünf,3055384,0.0326
zeigen,3050215,0.0326
fest,3048058,0.0326
ganzen,3047065,0.0325
führen,3030668,0.0324
führt,3029009,0.0323
Artikel,3015689,0.0322
stark,3009799,0.0321
allein,3003250,0.0321
liegen,3002327,0.0321
Personen,2997780,0.0320
Mai,2990497,0.0319
Seiten,2986582,0.0319
oben,2974539,0.0318
trotzdem,2972379,0.0317
Bilder,2972005,0.0317
meist,2970604,0.0317
Film,2963453,0.0316
obwohl,2961509,0.0316
Daten,2961118,0.0316
Erfolg,2947792,0.0315
würden,2928232,0.0313
jedes,2917818,0.0312
kind,2909912,0.0311
verschiedene,2893944,0.0309
Probleme,2891222,0.0309
neues,2873772,0.0307
Gott,2863320,0.0306
hinaus,2842870,0.0304
Abend,2832415,0.0302
mehrere,2827323,0.0302
damals,2800081,0.0299
Preis,2790545,0.0298
lernen,2788349,0.0298
beispielsweise,2778719,0.0297
einzelnen,2764394,0.0295
Gruppe,2752444,0.0294
weiterhin,2750627,0.0294
deine,2749056,0.0294
nämlich,2745046,0.0293
fand,2732164,0.0292
zumindest,2731639,0.0292
Juni,2724050,0.0291
Richtung,2722964,0.0291
gesagt,2718966,0.0290
hallo,2718329,0.0290
Gesellschaft,2700958,0.0288
mitarbeiter,2696934,0.0288
einigen,2696295,0.0288
lang,2695926,0.0288
schwer,2693690,0.0288
hoch,2676379,0.0286
Programm,2674749,0.0286
Augen,2673973,0.0286
welches,2670552,0.0285
dennoch,2669196,0.0285
geworden,2663559,0.0284
Rolle,2658202,0.0284
wert,2651066,0.0283
