gramm,count,percentage
er ,23170,1.6237
en ,21597,1.5135
nd ,14639,1.0259
ein,13705,0.9604
 un,13372,0.9371
und,13309,0.9327
 de,12726,0.8918
ie ,12501,0.8761
ch ,11924,0.8356
ich,11714,0.8209
der,10061,0.7051
te ,9651,0.6763
 da,8565,0.6002
in ,8513,0.5966
cht,7492,0.5250
 si,7466,0.5232
"n, ",7192,0.5040
 di,7180,0.5032
ine,6878,0.4820
 ei,6727,0.4714
 er,6297,0.4413
die,6268,0.4393
sch,6070,0.4254
", d",5910,0.4142
den,5595,0.3921
"en,",5592,0.3919
ach,5153,0.3611
as ,5064,0.3549
 ih,4883,0.3422
che,4808,0.3369
sie,4754,0.3332
n d,4746,0.3326
hen,4641,0.3252
 au,4626,0.3242
 ge,4568,0.3201
es ,4554,0.3191
ten,4542,0.3183
 wa,4443,0.3114
 zu,4090,0.2866
gen,4025,0.2821
 so,3979,0.2788
 wi,3913,0.2742
"e, ",3907,0.2738
ber,3821,0.2678
em ,3806,0.2667
ter,3761,0.2636
war,3656,0.2562
", u",3613,0.2532
das,3527,0.2472
 se,3519,0.2466
e s,3507,0.2458
abe,3457,0.2423
e d,3449,0.2417
auf,3447,0.2416
 ni,3427,0.2402
 mi,3393,0.2378
ht ,3356,0.2352
 ha,3315,0.2323
r d,3293,0.2308
 in,3278,0.2297
n s,3245,0.2274
ne ,3232,0.2265
nen,3195,0.2239
 an,3179,0.2228
tte,3177,0.2226
st ,3152,0.2209
"t, ",3138,0.2199
lte,3126,0.2191
en.,3117,0.2184
 al,3102,0.2174
nic,3045,0.2134
", s",3045,0.2134
e e,3042,0.2132
n u,3011,0.2110
"r, ",2956,0.2072
", w",2897,0.2030
nde,2891,0.2026
 we,2831,0.1984
nge,2738,0.1919
it ,2716,0.1903
 ab,2704,0.1895
r s,2703,0.1894
 sc,2699,0.1891
 es,2691,0.1886
hte,2690,0.1885
so ,2671,0.1872
d s,2652,0.1858
t d,2625,0.1840
oll,2589,0.1814
ben,2563,0.1796
aus,2546,0.1784
and,2520,0.1766
n. ,2512,0.1760
sei,2506,0.1756
ing,2506,0.1756
sic,2502,0.1753
zu ,2440,0.1710
. D,2402,0.1683
 sa,2386,0.1672
ste,2375,0.1664
dem,2356,0.1651
mit,2355,0.1650
n w,2355,0.1650
lle,2321,0.1627
 vo,2296,0.1609
ls ,2293,0.1607
nn ,2251,0.1577
Sch,2234,0.1566
 Da,2232,0.1564
wie,2228,0.1561
d d,2215,0.1552
och,2215,0.1552
rac,2195,0.1538
 Sc,2189,0.1534
 ic,2169,0.1520
r a,2130,0.1493
uf ,2130,0.1493
spr,2124,0.1488
 sp,2122,0.1487
e i,2114,0.1481
 be,2113,0.1481
lei,2106,0.1476
her,2097,0.1470
gte,2062,0.1445
 he,2058,0.1442
n a,2052,0.1438
rau,2039,0.1429
"te,",2036,0.1427
nte,2033,0.1425
 hi,2032,0.1424
h d,2026,0.1420
 wo,2023,0.1418
 du,2008,0.1407
"."" ",1976,0.1385
ann,1975,0.1384
uch,1964,0.1376
r e,1952,0.1368
wei,1939,0.1359
pra,1931,0.1353
sen,1915,0.1342
"er,",1914,0.1341
e a,1907,0.1336
sse,1906,0.1336
ng ,1838,0.1288
nig,1834,0.1285
hat,1828,0.1281
mme,1826,0.1280
": """,1821,0.1276
n e,1809,0.1268
hm ,1805,0.1265
n i,1789,0.1254
als,1784,0.1250
rte,1783,0.1250
hr ,1780,0.1247
ede,1775,0.1244
ihr,1768,0.1239
aß ,1757,0.1231
ar ,1751,0.1227
llt,1743,0.1221
lie,1740,0.1219
s d,1736,0.1217
hin,1736,0.1217
eit,1732,0.1214
agt,1725,0.1209
ang,1710,0.1198
ver,1685,0.1181
chl,1683,0.1179
ren,1674,0.1173
ihm,1645,0.1153
 ve,1642,0.1151
", a",1634,0.1145
ir ,1616,0.1132
el ,1615,0.1132
du ,1611,0.1129
 Ha,1603,0.1123
ern,1599,0.1121
lic,1591,0.1115
men,1587,0.1112
 st,1586,0.1111
 Kö,1581,0.1108
öni,1580,0.1107
Da ,1571,0.1101
ist,1570,0.1100
d w,1544,0.1082
all,1543,0.1081
 ka,1540,0.1079
ebe,1533,0.1074
att,1523,0.1067
n h,1514,0.1061
s s,1504,0.1054
Kön,1495,0.1048
ers,1492,0.1046
sag,1489,0.1043
n S,1487,0.1042
n g,1476,0.1034
ihn,1475,0.1034
ied,1460,0.1023
ges,1459,0.1022
hn ,1457,0.1021
rei,1445,0.1013
s e,1438,0.1008
on ,1427,0.1000
 me,1420,0.0995
ig ,1412,0.0990
ehe,1412,0.0990
r i,1406,0.0985
hre,1403,0.0983
daß,1392,0.0976
r w,1391,0.0975
an ,1389,0.0973
r h,1358,0.0952
enn,1331,0.0933
da ,1319,0.0924
e. ,1305,0.0915
ei ,1302,0.0912
ll ,1292,0.0905
re ,1285,0.0901
um ,1285,0.0901
de ,1268,0.0889
f d,1265,0.0886
bei,1261,0.0884
h e,1257,0.0881
gin,1254,0.0879
len,1250,0.0876
kam,1249,0.0875
ort,1247,0.0874
e u,1242,0.0870
 St,1237,0.0867
e S,1224,0.0858
us ,1222,0.0856
t e,1213,0.0850
ind,1208,0.0847
 na,1200,0.0841
ger,1199,0.0840
r n,1193,0.0836
rde,1188,0.0833
ete,1184,0.0830
"h, ",1176,0.0824
 De,1163,0.0815
r g,1151,0.0807
von,1148,0.0805
 Ge,1147,0.0804
t s,1145,0.0802
sol,1139,0.0798
ge ,1138,0.0797
e K,1133,0.0794
e g,1127,0.0790
 li,1126,0.0789
r u,1125,0.0788
ner,1123,0.0787
was,1120,0.0785
 la,1119,0.0784
d e,1119,0.0784
r K,1117,0.0783
wol,1112,0.0779
s w,1111,0.0779
 gi,1111,0.0779
s i,1098,0.0769
ege,1092,0.0765
d a,1090,0.0764
t w,1084,0.0760
fen,1084,0.0760
rie,1082,0.0758
","" ",1082,0.0758
t u,1080,0.0757
geh,1076,0.0754
 is,1074,0.0753
rn ,1071,0.0751
ill,1070,0.0750
e w,1067,0.0748
Der,1066,0.0747
 Wa,1061,0.0744
 ga,1053,0.0738
vor,1043,0.0731
 Al,1038,0.0727
t i,1038,0.0727
 bi,1034,0.0725
tet,1033,0.0724
e h,1030,0.0722
age,1030,0.0722
ieb,1028,0.0720
hab,1026,0.0719
""" D",1019,0.0714
eid,1019,0.0714
"n.""",1015,0.0711
mei,1012,0.0709
nem,1012,0.0709
he ,1012,0.0709
h a,1009,0.0707
est,1009,0.0707
ief,1007,0.0706
"s, ",1006,0.0705
 ko,998,0.0699
t h,994,0.0697
t a,988,0.0692
e n,986,0.0691
auc,983,0.0689
omm,981,0.0687
hne,977,0.0685
s a,975,0.0683
"ch,",973,0.0682
nnt,968,0.0678
wil,963,0.0675
am ,963,0.0675
 We,961,0.0673
ns ,959,0.0672
 He,959,0.0672
r S,953,0.0668
n K,946,0.0663
", e",943,0.0661
ung,941,0.0659
rin,938,0.0657
ese,933,0.0654
ere,933,0.0654
. A,932,0.0653
n k,928,0.0650
erl,924,0.0648
"in,",922,0.0646
mer,921,0.0645
r z,918,0.0643
gel,918,0.0643
wen,916,0.0642
h s,914,0.0641
end,913,0.0640
m d,910,0.0638
 nu,905,0.0634
le ,902,0.0632
 Fr,901,0.0631
nac,901,0.0631
h n,898,0.0629
h w,896,0.0628
iel,884,0.0619
 Br,883,0.0619
 tr,882,0.0618
cke,881,0.0617
ige,877,0.0615
n m,876,0.0614
t m,871,0.0610
n B,871,0.0610
 gr,870,0.0610
ute,869,0.0609
 Ma,865,0.0606
mir,861,0.0603
wer,859,0.0602
anz,858,0.0601
chw,856,0.0600
alt,854,0.0598
eic,853,0.0598
n z,852,0.0597
"g, ",843,0.0591
ert,842,0.0590
ser,838,0.0587
at ,833,0.0584
e z,833,0.0584
era,833,0.0584
 dr,833,0.0584
ide,833,0.0584
un ,829,0.0581
e m,828,0.0580
ken,827,0.0580
ckt,825,0.0578
t g,822,0.0576
n H,822,0.0576
ück,821,0.0575
ass,818,0.0573
mal,815,0.0571
", """,814,0.0570
itt,813,0.0570
r m,812,0.0569
sta,811,0.0568
ier,810,0.0568
n W,809,0.0567
ech,804,0.0563
gan,804,0.0563
eil,804,0.0563
kte,801,0.0561
ite,800,0.0561
rst,799,0.0560
e H,798,0.0559
kei,797,0.0559
 ma,797,0.0559
"m, ",796,0.0558
wir,795,0.0557
ld ,795,0.0557
 fr,795,0.0557
erd,793,0.0556
etz,791,0.0554
nst,790,0.0554
. E,788,0.0552
 Di,787,0.0552
kom,787,0.0552
ur ,786,0.0551
