gramm,count,percentage
 Be,785,0.0550
rt ,779,0.0546
s g,770,0.0540
Als,768,0.0538
te.,767,0.0538
 le,766,0.0537
 ke,763,0.0535
sel,763,0.0535
d h,762,0.0534
 im,760,0.0533
t. ,759,0.0532
noc,757,0.0530
rge,756,0.0530
übe,756,0.0530
d g,749,0.0525
ate,748,0.0524
 no,748,0.0524
hei,747,0.0523
tzt,746,0.0523
n n,741,0.0519
 Er,741,0.0519
be ,740,0.0519
wor,739,0.0518
lt ,738,0.0517
Die,737,0.0516
lan,736,0.0516
 Ta,735,0.0515
or ,734,0.0514
"d, ",731,0.0512
ß e,730,0.0512
tig,729,0.0511
a s,728,0.0510
", i",728,0.0510
erg,728,0.0510
Her,727,0.0509
elt,723,0.0507
rch,723,0.0507
ran,719,0.0504
ens,718,0.0503
imm,715,0.0501
tan,715,0.0501
ehr,713,0.0500
"ht,",711,0.0498
r H,710,0.0498
tra,710,0.0498
nne,709,0.0497
mac,709,0.0497
ina,707,0.0495
geb,706,0.0495
"ar,",703,0.0493
e T,701,0.0491
ieg,701,0.0491
e F,700,0.0491
u d,700,0.0491
n M,695,0.0487
rd ,694,0.0486
ieß,692,0.0485
ess,691,0.0484
m e,686,0.0481
im ,679,0.0476
 Wi,679,0.0476
h h,675,0.0473
esc,672,0.0471
n b,672,0.0471
al ,668,0.0468
dar,668,0.0468
bis,667,0.0467
hie,667,0.0467
 fü,665,0.0466
 mu,663,0.0465
ene,662,0.0464
ßen,662,0.0464
chn,661,0.0463
n T,661,0.0463
 zw,660,0.0463
nei,659,0.0462
sah,657,0.0460
ßte,656,0.0460
 re,647,0.0453
chs,643,0.0451
h i,641,0.0449
gew,640,0.0449
roß,640,0.0449
""" s",640,0.0449
ald,639,0.0448
 üb,639,0.0448
.' ,638,0.0447
 wä,634,0.0444
des,632,0.0443
r v,631,0.0442
onn,631,0.0442
 ri,627,0.0439
e B,625,0.0438
Hau,624,0.0437
"l, ",624,0.0437
ies,623,0.0437
are,622,0.0436
old,621,0.0435
n v,621,0.0435
rbe,620,0.0434
ler,619,0.0434
ohn,619,0.0434
r M,618,0.0433
s n,618,0.0433
se ,618,0.0433
d i,616,0.0432
 br,615,0.0431
wär,615,0.0431
"st,",614,0.0430
r k,610,0.0427
e M,609,0.0427
ick,608,0.0426
e v,607,0.0425
 um,606,0.0425
gro,606,0.0425
u s,605,0.0424
dic,603,0.0423
zen,601,0.0421
eck,601,0.0421
e b,599,0.0420
erz,598,0.0419
l i,597,0.0418
 Le,596,0.0418
". """,596,0.0418
r. ,591,0.0414
err,589,0.0413
erb,587,0.0411
muß,587,0.0411
unt,587,0.0411
man,586,0.0411
g d,586,0.0411
ins,585,0.0410
 Ki,585,0.0410
ell,584,0.0409
amm,582,0.0408
ß d,580,0.0406
n G,579,0.0406
h m,573,0.0402
uer,572,0.0401
 Fe,570,0.0399
rag,568,0.0398
nun,567,0.0397
eis,566,0.0397
d f,564,0.0395
nma,563,0.0395
äre,563,0.0395
Fra,561,0.0393
uge,561,0.0393
gst,561,0.0393
ant,560,0.0392
 Si,560,0.0392
r W,560,0.0392
n l,560,0.0392
tel,558,0.0391
r B,558,0.0391
ut ,556,0.0390
ck ,556,0.0390
o s,554,0.0388
cha,554,0.0388
m S,552,0.0387
chö,551,0.0386
ußt,551,0.0386
seh,551,0.0386
 Ba,550,0.0385
ntw,550,0.0385
Han,550,0.0385
 fo,549,0.0385
bra,549,0.0385
two,547,0.0383
 fi,546,0.0383
isc,546,0.0383
e: ,544,0.0381
s h,544,0.0381
 Mä,544,0.0381
ef ,543,0.0381
 So,543,0.0381
hts,540,0.0378
sti,538,0.0377
oße,537,0.0376
m a,537,0.0376
dir,536,0.0376
bli,536,0.0376
", b",534,0.0374
rec,533,0.0374
d b,530,0.0371
Man,530,0.0371
rsc,529,0.0371
Was,524,0.0367
ab ,523,0.0367
t n,522,0.0366
nsc,522,0.0366
e A,520,0.0364
for,520,0.0364
kan,519,0.0364
mic,519,0.0364
 Es,518,0.0363
hle,518,0.0363
fer,518,0.0363
hön,516,0.0362
geg,516,0.0362
 hä,515,0.0361
"?"" ",514,0.0360
Sie,512,0.0359
 Un,512,0.0359
zte,511,0.0358
ür ,510,0.0357
zwe,509,0.0357
zur,509,0.0357
eß ,508,0.0356
h z,507,0.0355
für,505,0.0354
"!"" ",504,0.0353
dan,504,0.0353
 kl,503,0.0352
l d,502,0.0352
is ,501,0.0351
" ""W",500,0.0350
eiß,500,0.0350
inm,497,0.0348
 bl,497,0.0348
chi,496,0.0348
set,495,0.0347
m H,495,0.0347
igs,494,0.0346
 gu,494,0.0346
 Ka,494,0.0346
 do,493,0.0345
d m,493,0.0345
r b,493,0.0345
ts ,492,0.0345
nah,492,0.0345
nur,492,0.0345
 Na,490,0.0343
int,490,0.0343
au ,488,0.0342
g e,488,0.0342
n: ,488,0.0342
s u,488,0.0342
e k,487,0.0341
dre,487,0.0341
fra,487,0.0341
ahr,487,0.0341
r F,487,0.0341
s M,486,0.0341
s m,484,0.0339
g a,484,0.0339
zum,484,0.0339
lde,483,0.0338
"f, ",483,0.0338
ätt,482,0.0338
tt ,482,0.0338
 wu,478,0.0335
r f,478,0.0335
 To,477,0.0334
ast,476,0.0334
n f,475,0.0333
m s,475,0.0333
 gl,472,0.0331
" ""D",471,0.0330
d u,470,0.0329
l e,469,0.0329
nze,469,0.0329
h g,468,0.0328
egt,468,0.0328
Tag,466,0.0327
utt,465,0.0326
hal,465,0.0326
ß s,464,0.0325
bes,464,0.0325
reu,463,0.0324
h u,462,0.0324
 Ab,462,0.0324
t z,461,0.0323
hät,461,0.0323
erk,461,0.0323
 Me,461,0.0323
e G,461,0.0323
h: ,460,0.0322
n F,460,0.0322
ohl,460,0.0322
kon,460,0.0322
ch:,459,0.0322
d k,458,0.0321
r T,458,0.0321
Er ,458,0.0321
hla,457,0.0320
les,456,0.0320
woh,456,0.0320
g s,456,0.0320
hör,455,0.0319
gut,455,0.0319
ans,455,0.0319
uns,453,0.0317
Kin,452,0.0317
 Go,451,0.0316
ahm,450,0.0315
s H,449,0.0315
nau,448,0.0314
 - ,448,0.0314
f e,447,0.0313
 Au,446,0.0313
er.,446,0.0313
ien,445,0.0312
aue,444,0.0311
vie,444,0.0311
chr,442,0.0310
ag ,442,0.0310
gle,441,0.0309
gef,441,0.0309
n R,438,0.0307
erw,438,0.0307
cho,437,0.0306
"nd,",436,0.0306
tze,436,0.0306
ard,435,0.0305
Das,434,0.0304
 Sp,434,0.0304
aut,432,0.0303
kön,432,0.0303
Ich,431,0.0302
e W,430,0.0301
nes,428,0.0300
d l,428,0.0300
. S,427,0.0299
n A,427,0.0299
org,426,0.0299
ema,425,0.0298
Vat,425,0.0298
lau,425,0.0298
""" -",425,0.0298
Es ,424,0.0297
 kö,424,0.0297
tei,424,0.0297
 ho,423,0.0296
", g",423,0.0296
 Ko,422,0.0296
nz ,421,0.0295
ufe,421,0.0295
r G,420,0.0294
o w,419,0.0294
dei,418,0.0293
sto,417,0.0292
h b,416,0.0292
 Va,416,0.0292
las,416,0.0292
"- """,416,0.0292
nke,415,0.0291
tie,415,0.0291
g u,413,0.0289
lst,413,0.0289
dch,412,0.0289
leg,412,0.0289
lag,411,0.0288
Abe,411,0.0288
gt ,409,0.0287
fin,408,0.0286
il ,408,0.0286
s z,408,0.0286
doc,407,0.0285
meh,406,0.0285
 en,406,0.0285
""" """,406,0.0285
aum,405,0.0284
sam,404,0.0283
Wal,404,0.0283
a w,403,0.0282
n L,403,0.0282
m B,400,0.0280
ank,399,0.0280
s S,399,0.0280
ara,397,0.0278
wo ,397,0.0278
hwe,396,0.0278
 fa,395,0.0277
te:,395,0.0277
eim,395,0.0277
t v,394,0.0276
hrt,394,0.0276
 Gr,394,0.0276
d n,393,0.0275
e f,393,0.0275
rum,392,0.0275
opf,391,0.0274
ett,391,0.0274
ah ,390,0.0273
m K,389,0.0273
hol,388,0.0272
"n,""",388,0.0272
s G,387,0.0271
tes,387,0.0271
l s,387,0.0271
eut,387,0.0271
ent,385,0.0270
 vi,385,0.0270
 Mu,384,0.0269
 je,384,0.0269
eib,384,0.0269
fel,383,0.0268
ude,383,0.0268
r l,382,0.0268
. W,380,0.0266
 Ei,380,0.0266
hli,379,0.0266
", k",379,0.0266
hlo,378,0.0265
ört,377,0.0264
en:,376,0.0263
ele,376,0.0263
 Pf,376,0.0263
 fe,375,0.0263
hl ,375,0.0263
m W,375,0.0263
e l,375,0.0263
ame,374,0.0262
"u, ",374,0.0262
s K,374,0.0262
ß i,373,0.0261
", h",372,0.0261
art,372,0.0261
lls,371,0.0260
eue,371,0.0260
ade,370,0.0259
 Ho,369,0.0259
Bau,369,0.0259
kle,369,0.0259
oge,368,0.0258
d v,368,0.0258
", m",367,0.0257
n; ,367,0.0257
eru,366,0.0256
ädc,365,0.0256
dli,364,0.0255
"t.""",364,0.0255
Und,364,0.0255
in.,364,0.0255
etr,363,0.0254
ndl,361,0.0253
"rt,",361,0.0253
lin,360,0.0252
run,359,0.0252
nie,357,0.0250
Wie,355,0.0249
u i,354,0.0248
fte,354,0.0248
Mäd,354,0.0248
ube,354,0.0248
önn,353,0.0247
tre,353,0.0247
 ne,352,0.0247
eht,351,0.0246
u e,351,0.0246
d z,351,0.0246
sin,351,0.0246
", l",350,0.0245
dac,349,0.0245
rat,348,0.0244
eg ,348,0.0244
rli,346,0.0242
Ges,345,0.0242
h v,345,0.0242
's ,342,0.0240
gab,342,0.0240
rit,341,0.0239
"am,",340,0.0238
eig,340,0.0238
ack,340,0.0238
fan,339,0.0238
t b,339,0.0238
Nac,338,0.0237
" ""I",338,0.0237
rle,338,0.0237
hon,338,0.0237
ust,338,0.0237
 hö,336,0.0235
weg,336,0.0235
ngs,335,0.0235
s v,334,0.0234
elb,334,0.0234
",' ",334,0.0234
 ba,333,0.0233
ami,333,0.0233
e L,333,0.0233
rme,333,0.0233
r: ,331,0.0232
g i,331,0.0232
Wei,330,0.0231
 Ti,329,0.0231
"us,",328,0.0230
et ,327,0.0229
Nun,326,0.0228
get,326,0.0228
u m,325,0.0228
bri,325,0.0228
rne,325,0.0228
fre,325,0.0228
s k,323,0.0226
rze,323,0.0226
"el,",323,0.0226
Aug,322,0.0226
ug ,321,0.0225
"uf,",320,0.0224
eld,320,0.0224
zus,319,0.0224
son,318,0.0223
 ob,318,0.0223
d r,316,0.0221
 Tr,316,0.0221
l a,315,0.0221
urc,315,0.0221
me ,315,0.0221
ze ,314,0.0220
f u,313,0.0219
loß,313,0.0219
has,313,0.0219
s B,313,0.0219
zt ,313,0.0219
ewe,312,0.0219
e E,312,0.0219
g w,311,0.0218
o g,311,0.0218
oß ,311,0.0218
hme,310,0.0217
m g,310,0.0217
aub,310,0.0217
wes,310,0.0217
 Ri,309,0.0217
öne,309,0.0217
dam,308,0.0216
en?,308,0.0216
ieh,305,0.0214
l u,304,0.0213
' D,304,0.0213
"ig,",303,0.0212
en;,303,0.0212
", n",303,0.0212
dur,303,0.0212
zog,302,0.0212
 Fu,302,0.0212
bin,301,0.0211
efe,301,0.0211
ühr,301,0.0211
 Re,299,0.0210
pfe,299,0.0210
"an,",298,0.0209
s b,298,0.0209
nse,298,0.0209
r J,298,0.0209
 ta,297,0.0208
 Sa,297,0.0208
 Mo,297,0.0208
zei,297,0.0208
 Kr,297,0.0208
r V,294,0.0206
 am,294,0.0206
rüc,291,0.0204
n.',291,0.0204
f s,290,0.0203
arm,290,0.0203
eri,290,0.0203
er:,289,0.0203
toc,289,0.0203
ric,288,0.0202
m u,288,0.0202
tru,288,0.0202
 Ze,287,0.0201
Mut,287,0.0201
rot,287,0.0201
lch,286,0.0200
 Vo,286,0.0200
use,285,0.0200
b i,285,0.0200
 Wo,285,0.0200
 Ju,284,0.0199
ft ,284,0.0199
t l,284,0.0199
fie,284,0.0199
e Z,282,0.0198
s. ,282,0.0198
chu,282,0.0198
vol,281,0.0197
 Ja,281,0.0197
hlt,279,0.0196
suc,278,0.0195
o d,278,0.0195
bst,278,0.0195
teh,277,0.0194
 Hi,277,0.0194
tun,276,0.0193
m G,276,0.0193
. N,275,0.0193
r A,275,0.0193
", '",275,0.0193
ott,274,0.0192
ird,274,0.0192
; d,273,0.0191
äge,273,0.0191
"ge,",273,0.0191
Bru,273,0.0191
uß ,272,0.0191
. U,272,0.0191
ße ,272,0.0191
h k,271,0.0190
ke ,271,0.0190
ßt ,270,0.0189
"""Ic",270,0.0189
e N,270,0.0189
los,270,0.0189
r E,270,0.0189
Zei,269,0.0189
 ar,269,0.0189
del,268,0.0188
ob ,268,0.0188
u h,268,0.0188
rab,268,0.0188
 kr,267,0.0187
e R,267,0.0187
"b, ",267,0.0187
ise,267,0.0187
"nn,",267,0.0187
Ihr,266,0.0186
u w,265,0.0186
 Ar,265,0.0186
 En,264,0.0185
rs ,263,0.0184
 Hä,263,0.0184
" ""A",263,0.0184
hau,263,0.0184
erh,263,0.0184
 Tü,262,0.0184
t f,261,0.0183
Jun,260,0.0182
füh,259,0.0182
lbe,259,0.0182
a g,259,0.0182
ot ,259,0.0182
rer,258,0.0181
mmt,258,0.0181
 Se,258,0.0181
Ein,258,0.0181
lüc,258,0.0181
 wü,255,0.0179
Gol,255,0.0179
 go,254,0.0178
 Nu,254,0.0178
ahl,254,0.0178
wan,254,0.0178
g h,254,0.0178
eb ,254,0.0178
 zo,253,0.0177
 Ra,252,0.0177
Weg,252,0.0177
s f,251,0.0176
""" A",251,0.0176
Leb,251,0.0176
n V,250,0.0175
og ,249,0.0174
m F,249,0.0174
s W,249,0.0174
m M,249,0.0174
usa,248,0.0174
ink,248,0.0174
d t,248,0.0174
rig,247,0.0173
 La,246,0.0172
t k,245,0.0172
hs ,245,0.0172
r L,245,0.0172
s F,244,0.0171
"ß, ",244,0.0171
 et,244,0.0171
 mü,243,0.0170
Tür,243,0.0170
gli,242,0.0170
rem,241,0.0169
chm,241,0.0169
", f",241,0.0169
nch,241,0.0169
aar,240,0.0168
ode,240,0.0168
"ie,",240,0.0168
itz,240,0.0168
hwa,239,0.0167
str,239,0.0167
ngt,239,0.0167
""" a",239,0.0167
dri,238,0.0167
etw,238,0.0167
eln,237,0.0166
üss,237,0.0166
hst,237,0.0166
enk,236,0.0165
iß ,236,0.0165
ss ,236,0.0165
 Li,234,0.0164
e J,234,0.0164
 Hu,234,0.0164
"he,",234,0.0164
a k,233,0.0163
Bet,233,0.0163
gol,232,0.0163
", o",232,0.0163
 An,232,0.0163
gek,232,0.0163
 ze,232,0.0163
 Gl,232,0.0163
bal,231,0.0162
n E,231,0.0162
dig,231,0.0162
 Bl,231,0.0162
erm,230,0.0161
Pfe,230,0.0161
twa,230,0.0161
 Kl,229,0.0160
g. ,229,0.0160
"k, ",229,0.0160
saß,229,0.0160
 Ih,229,0.0160
s L,229,0.0160
tri,229,0.0160
r R,229,0.0160
Toc,228,0.0160
Alt,228,0.0160
erf,227,0.0159
mel,227,0.0159
"es,",227,0.0159
hlu,226,0.0158
" ""S",226,0.0158
äng,226,0.0158
ähl,225,0.0158
Kop,225,0.0158
l g,225,0.0158
ahe,225,0.0158
wur,224,0.0157
 ja,224,0.0157
äch,224,0.0157
 Mü,224,0.0157
orn,223,0.0156
s T,222,0.0156
Mor,222,0.0156
" ""N",222,0.0156
 Bä,222,0.0156
ppe,221,0.0155
afe,221,0.0155
ewa,220,0.0154
ond,220,0.0154
laf,220,0.0154
 tu,220,0.0154
"ah,",219,0.0153
l h,219,0.0153
ibe,219,0.0153
ch.,219,0.0153
Fre,219,0.0153
tat,218,0.0153
 Eu,218,0.0153
"ng,",218,0.0153
atz,218,0.0153
haf,217,0.0152
leb,217,0.0152
f i,217,0.0152
bte,217,0.0152
n D,217,0.0152
pie,217,0.0152
neh,216,0.0151
ffe,216,0.0151
m i,213,0.0149
Du ,213,0.0149
Sta,213,0.0149
e P,213,0.0149
"de,",212,0.0149
pf ,212,0.0149
g g,212,0.0149
"n?""",212,0.0149
Jah,212,0.0149
 Ga,212,0.0149
 Jä,211,0.0148
Jäg,211,0.0148
lug,211,0.0148
r t,210,0.0147
inz,210,0.0147
Ste,209,0.0146
tüc,209,0.0146
det,209,0.0146
Ach,209,0.0146
n P,209,0.0146
fal,209,0.0146
iss,209,0.0146
ehm,208,0.0146
ari,208,0.0146
tec,208,0.0146
sge,208,0.0146
l m,207,0.0145
ht.,207,0.0145
rla,207,0.0145
m n,207,0.0145
ebt,207,0.0145
eh ,207,0.0145
obe,207,0.0145
n J,206,0.0144
hri,206,0.0144
' ',206,0.0144
Wel,205,0.0144
m h,205,0.0144
hel,205,0.0144
 Fl,205,0.0144
efa,204,0.0143
ufg,204,0.0143
eko,204,0.0143
" ""d",204,0.0143
Str,204,0.0143
 Te,204,0.0143
Got,203,0.0142
üre,203,0.0142
Wir,203,0.0142
wac,202,0.0142
n t,202,0.0142
jed,202,0.0142
usc,202,0.0142
usg,202,0.0142
m T,201,0.0141
o e,201,0.0141
"re,",200,0.0140
m z,200,0.0140
lf ,200,0.0140
o l,199,0.0139
ord,199,0.0139
mm ,198,0.0139
eha,198,0.0139
kt ,198,0.0139
"""Da",198,0.0139
Stu,198,0.0139
Bra,197,0.0138
bt ,197,0.0138
b e,197,0.0138
üde,196,0.0137
 fl,196,0.0137
Men,196,0.0137
e t,195,0.0137
avo,195,0.0137
u a,195,0.0137
irt,195,0.0137
"""Wa",195,0.0137
Spi,194,0.0136
rug,194,0.0136
mt ,194,0.0136
u b,194,0.0136
nns,194,0.0136
ock,194,0.0136
Gel,194,0.0136
ote,193,0.0135
ble,193,0.0135
urü,193,0.0135
rr ,193,0.0135
üll,192,0.0135
nan,192,0.0135
roc,191,0.0134
Rei,191,0.0134
Kle,191,0.0134
dav,191,0.0134
iße,191,0.0134
öch,191,0.0134
iem,190,0.0133
tge,190,0.0133
 Fi,190,0.0133
irs,190,0.0133
h H,190,0.0133
ume,190,0.0133
jun,190,0.0133
orb,189,0.0132
", z",189,0.0132
n r,189,0.0132
Erd,188,0.0132
"at,",188,0.0132
. I,188,0.0132
euc,188,0.0132
arf,188,0.0132
Sti,188,0.0132
inn,186,0.0130
h. ,186,0.0130
h f,186,0.0130
st.,186,0.0130
us.,186,0.0130
esa,186,0.0130
' s,186,0.0130
chü,185,0.0130
oss,185,0.0130
om ,185,0.0130
i d,185,0.0130
 Kn,185,0.0130
res,184,0.0129
d. ,184,0.0129
urd,184,0.0129
", v",184,0.0129
"rn,",184,0.0129
üns,184,0.0129
rud,184,0.0129
en!,183,0.0128
g m,183,0.0128
o k,183,0.0128
lig,183,0.0128
" ""w",183,0.0128
l w,183,0.0128
End,182,0.0128
s t,182,0.0128
olt,182,0.0128
m w,182,0.0128
 Ke,182,0.0128
h ',182,0.0128
Wen,181,0.0127
 Mi,181,0.0127
net,181,0.0127
fri,181,0.0127
nt ,181,0.0127
fah,180,0.0126
fge,180,0.0126
nk ,179,0.0125
g n,179,0.0125
lfe,179,0.0125
zäh,179,0.0125
Mei,179,0.0125
" ""E",178,0.0125
g z,178,0.0125
wun,178,0.0125
e r,178,0.0125
nkt,178,0.0125
rt.,178,0.0125
tro,178,0.0125
 Lu,178,0.0125
 su,177,0.0124
